"","Date","value","zone","species","metric","creation_date"
"293","2023-07-25",0.285219614284787,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"294","2023-07-25",0.29114866894464,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"295","2023-07-26",0.287732825904596,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"296","2023-07-26",0.301291890710641,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"297","2023-07-27",0.290102843838787,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"298","2023-07-27",0.304876918744436,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"299","2023-07-28",0.295923060221976,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"300","2023-07-28",0.304687629293791,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"301","2023-07-29",0.308386491938091,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"302","2023-07-29",0.323127356091127,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"303","2023-07-30",0.319404468964433,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"304","2023-07-30",0.341194064449367,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"305","2023-07-31",0.324336231177647,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"306","2023-07-31",0.343511411301341,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"307","2023-08-01",0.326567283268985,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"308","2023-08-01",0.341836930345591,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"309","2023-08-02",0.330624786707071,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"310","2023-08-02",0.34995666435278,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"311","2023-08-03",0.327127937110045,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"312","2023-08-03",0.356402408423088,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"313","2023-08-04",0.331370787993355,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"314","2023-08-04",0.364001407365752,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"315","2023-08-05",0.340414031813905,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"316","2023-08-05",0.372540889170673,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"317","2023-08-06",0.34642879882872,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"318","2023-08-06",0.378731364265401,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"319","2023-08-07",0.343367193096222,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"320","2023-08-07",0.386034713939149,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"321","2023-08-08",0.348748127616294,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"322","2023-08-08",0.386614590785702,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"323","2023-08-09",0.335319892182702,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"324","2023-08-09",0.362183760491896,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"325","2023-08-10",0.336076818256255,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"326","2023-08-10",0.362494303715307,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"327","2023-08-11",0.348934682515951,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"328","2023-08-11",0.367046630860546,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"329","2023-08-12",0.366659658177653,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"330","2023-08-12",0.372363041665667,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"331","2023-08-13",0.350538997752369,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"332","2023-08-13",0.370778609622032,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"333","2023-08-14",0.360092991885517,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"334","2023-08-14",0.377612042349021,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"335","2023-08-15",0.313426488463169,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
